Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Animi qui hic omnis veniam ut architecto quaerat.,2024-03-29,2024-05-20,Unde odit odio iure culpa. Modi molestias doloribus expedita eum. Mollitia cupiditate nesciunt esse perspiciatis expedita.,Sistemas Operativos,"9000008-K|Dulce Micaela Galindo Mota|jacinto49@example.net, 9000065-3|Georgina Sanches|fquezada@example.net, 9000088-6|Sara Ursula Tafoya Aguilera|wilfrido12@example.com","9000230-5|Jeronimo Veronica Cordero Gracia|concepcionfrancisco@example.org, 9000023-K|Alvaro Partida|zoe37@example.net, 9000224-1|Catalina Pilar Balderas Villa|yuridia16@example.com",72|44|68,Earum dolorem facilis dolor quo error soluta quasi sequi.|Beatae ratione itaque explicabo error rem necessitatibus dicta enim.|Dicta ex laborum modi dolore commodi dolor assumenda ratione porro dolores officia ullam.
Incidunt alias labore modi.,2024-02-02,2024-02-13,Architecto recusandae laboriosam labore ab repudiandae ipsa. Placeat et commodi porro illum rerum.,Tecnologias Moviles|Teoria de la Computacion,"9000016-3|Mercedes Anaya|qmiramontes@example.net, 9000179-1|Mtro. Santiago Garcia|riverahermelinda@example.net","9000227-3|Trinidad Delia Rivera Roque|celiabarajas@example.net, 9000041-1|Dr. Delia Palomino|userrato@example.org, 9000110-7|Linda Laboy|nellycarrera@example.com",17|96|100,Assumenda laboriosam quia ut nihil id ut voluptates dolore repellendus consequatur non.|Suscipit occaecati inventore voluptas exercitationem non nemo ratione porro.|Aliquid nisi excepturi dolorem accusantium temporibus rerum.
Cum provident molestiae illum minima temporibus.,2023-04-23,2023-06-18,Harum quasi maiores maxime nulla. Quam nesciunt ipsa natus soluta reprehenderit suscipit eveniet.,Estadistica|Arquitectura de Computadores,"9000185-9|Ana Maria de Anda|yacevedo@example.com, 9000001-1|Gonzalo Pina|mcorrea@example.com, 9000233-3|Sonia Velasquez|juan-carlossaldana@example.com","9000109-K|Ing. Marisol Vallejo|soledad52@example.com, 9000167-9|Ernesto Lira|hfeliciano@example.org, 9000053-4|Modesto Zambrano Tello|serratorene@example.org",97|86|50,Quibusdam minus totam ea eveniet atque eaque unde incidunt quis.|Minima hic minima assumenda quas odit distinctio magnam.|Sed beatae aspernatur doloribus voluptates laudantium molestiae eius totam nemo suscipit.
Qui nulla totam.,2024-02-18,2024-03-30,Nemo ratione aspernatur dolorum. Commodi nemo labore consequatur sint expedita doloribus.,Big Data|Etica en Tecnologia,"9000073-5|Angelica Gonzalez|socorro93@example.com, 9000092-3|Diego Hermelinda Alcaraz Tejeda|gerardoarmenta@example.org","9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net",51|65|95,Totam aspernatur porro magni nobis necessitatibus distinctio.|Reiciendis animi ab ex eum soluta quibusdam voluptas at.|Ipsum doloribus officiis similique reprehenderit dolores laborum delectus expedita.
Aut enim hic perspiciatis.,2023-04-12,2023-05-12,"Saepe tenetur iusto delectus.
Molestias in quisquam fugiat.
Totam eos maxime fugiat ducimus architecto.",Visualizacion de Datos|Procesamiento de Lenguaje Natural,"9000015-1|Leonel Farias|villarrealsoledad@example.org, 9000220-3|Beatriz Gollum Terrazas|juliarendon@example.com","9000068-4|Gilberto Apodaca|esteban77@example.org, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com",81|85|89,Laudantium distinctio eaque laborum dignissimos consequatur similique.|Ea ea earum blanditiis quidem dolorem et.|Unde nemo nemo aliquid libero ea quidem totam.
Occaecati porro a cupiditate magni quis eius nostrum.,2024-10-31,2024-11-26,Sit quidem expedita sequi dolores. Modi tempora consequatur laudantium iste suscipit. Odit incidunt mollitia.,Analisis de Sistemas|Teoria de la Computacion,9000065-3|Georgina Sanches|fquezada@example.net,"9000064-1|Lic. Maria Teresa Lerma|hsandoval@example.com, 9000206-K|Dr. Oswaldo Archuleta|lorenadel-valle@example.org, 9000227-3|Trinidad Delia Rivera Roque|celiabarajas@example.net",41|36|43,Dolor eligendi labore accusamus dolorum doloremque ab accusamus.|Velit expedita maiores odio in ad molestias.|Consequatur eaque cumque aliquam ea omnis cupiditate sit tempora nostrum quam.
Ipsum consequatur eaque eius accusantium provident.,2023-09-08,2023-10-29,Saepe earum natus cum fuga quos saepe officia. Numquam quaerat est veritatis. Corporis eius veritatis adipisci.,Etica en Tecnologia|Machine Learning|Ingenieria de Requisitos,"9000295-6|Claudio Jaimes|fernandovalentin@example.net, 9000145-K|Andres Eric Valverde Mascarenas|vanesasanabria@example.com","9000258-K|Blanca Limon|qsoto@example.com, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com, 9000157-0|Concepcion Ruben Acevedo Lebron|catalinatoledo@example.com",15|20|56,Fugit inventore porro dolor labore corrupti id possimus cumque.|Quod adipisci excepturi recusandae hic rem quam.|Necessitatibus deserunt vero nesciunt ab iure.
Est animi libero consequatur veritatis natus accusamus reiciendis.,2023-05-23,2023-06-05,Itaque deleniti quod omnis cupiditate atque dignissimos repellat. Aliquam magni sunt omnis libero delectus ad.,Bases de Datos|Realidad Aumentada,"9000001-1|Gonzalo Pina|mcorrea@example.com, 9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com, 9000021-8|Sr(a). Antonia Terrazas|natividadjaimes@example.org","9000027-7|Horacio Noelia Otero Torrez|chernandes@example.net, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com",32|10|47,Repudiandae quis eos ratione temporibus delectus corporis.|Accusamus exercitationem dolor nesciunt quidem consequuntur quasi vel quas nesciunt esse.|Reiciendis labore debitis nulla dignissimos delectus odit explicabo atque ullam iusto.
Officiis nobis error nam.,2024-03-31,2024-04-26,Veniam repudiandae facere molestiae beatae. Consectetur autem pariatur.,Redes Neuronales|Mineria de Datos|Estadistica,"9000259-1|Ivan Juan Ledesma Perez|ariadna70@example.net, 9000140-7|Leticia Pascual Abrego Maestas|enrique69@example.net, 9000065-3|Georgina Sanches|fquezada@example.net","9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000110-7|Linda Laboy|nellycarrera@example.com, 9000068-4|Gilberto Apodaca|esteban77@example.org",27|61|9,Ad quibusdam ipsa omnis voluptate voluptate autem adipisci eos.|Consectetur ipsa aliquam illo qui quisquam ut quisquam velit dicta non quas consectetur.|Quos voluptatem eius eaque ipsa ipsum veritatis magnam.
Dolore vitae illum earum.,2023-07-28,2023-08-12,"Quaerat ab aperiam cumque. Placeat quia sint facere eveniet soluta quis.
Accusantium molestias fugiat recusandae.",Sistemas Distribuidos,"9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net, 9000059-1|Natalia Salvador Amador|violetatrejo@example.com, 9000042-5|Lic. Martha Pulido|irene31@example.com","9000237-3|Maria Luisa Bernal Marroquin|zvela@example.net, 9000037-5|Sr(a). Amalia Arellano|isabelarojo@example.net, 9000019-9|Lic. Ofelia Berrios|vmarin@example.com",61|9|29,Dicta itaque rerum perferendis veniam neque itaque quaerat aliquid ab recusandae excepturi.|Voluptates veritatis velit sint molestias laboriosam ducimus doloribus amet ullam repellendus volupt|Eius dolor ipsa tempora quam doloribus ipsum ut minima assumenda at nobis.
Possimus ex consequuntur nemo rem corrupti.,2024-05-04,2024-06-25,"Odio rem optio architecto dignissimos.
Impedit adipisci eum velit non. Eligendi tempora earum illo ipsam.
Animi consequuntur sunt quam.",Seguridad Informatica|Automatizacion de Procesos,9000115-8|Ernesto Tirado|reinavelazquez@example.com,"9000002-0|Mtro. Leonel Martinez|felix10@example.net, 9000246-3|Reina Lorena Angulo|strejo@example.net, 9000076-K|Sessa Manuel Laureano Baez|palominojose@example.net",17|48|99,Libero porro temporibus iusto ratione facere.|Illum cum ut exercitationem iste ab assumenda nulla.|Veniam mollitia ex molestias placeat vel occaecati ratione voluptate exercitationem accusantium pari
Sunt aperiam nobis dolor.,2024-10-30,2024-12-13,Illum amet consectetur doloribus corporis assumenda. Quam quia cupiditate voluptates.,Redes Neuronales,9000127-1|Abelardo Irizarry|natividadcaraballo@example.net,"9000271-2|Cristobal Leticia Sandoval Marquez|lucerojose-carlos@example.net, 9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org, 9000256-K|Maria Elena Bustos Galindo|arteagaisabela@example.org",78|83|21,Est quas voluptas esse debitis corporis ipsam voluptates sequi.|Fugit vitae autem at dolores facilis quaerat reiciendis voluptatem.|Laudantium corrupti doloremque nam in laudantium illum cumque velit.
Quibusdam commodi itaque veritatis.,2024-12-24,2025-01-07,"Neque odit facere alias. Rem esse natus voluptatibus.
Doloremque sint repellat esse. Quas soluta quidem molestias veniam.",Vision Computacional|Automatizacion de Procesos,"9000083-2|Ing. Ignacio Ibarra|yolandamartinez@example.org, 9000024-8|Lic. Guillermo Apodaca|gracielaleyva@example.net, 9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net","9000125-8|Elvira Salma Chavarria|amelia75@example.net, 9000010-1|Cristina Jose Eduardo Marrero Melendez|avilacristal@example.org, 9000258-K|Blanca Limon|qsoto@example.com",17|96|15,Odit at commodi perferendis nostrum quo molestias aspernatur corporis.|A pariatur doloremque dolorem perspiciatis ratione magnam sint rem.|Minus eius reiciendis modi voluptatibus illo.
Expedita atque aut.,2024-03-23,2024-04-20,"At repellendus fuga deserunt.
Reiciendis delectus sint blanditiis. Amet nostrum veritatis incidunt reprehenderit dolores.",Automatizacion de Procesos|Robotica|Vision Computacional,"9000012-6|Lic. Nadia Tamez|ana-luisasauceda@example.org, 9000233-3|Sonia Velasquez|juan-carlossaldana@example.com","9000027-7|Horacio Noelia Otero Torrez|chernandes@example.net, 9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com, 9000053-4|Modesto Zambrano Tello|serratorene@example.org",70|76|76,Repudiandae numquam totam amet at eius vel distinctio ullam labore blanditiis autem porro.|Nihil iure officiis impedit quos autem occaecati.|Sunt culpa voluptates explicabo quaerat voluptate voluptatibus quam ea neque.
Sapiente odio reprehenderit eveniet facilis.,2023-09-16,2023-10-31,Blanditiis dignissimos ipsa dolore minus provident ad ullam.,Tecnologias Moviles|Computacion Grafica|Analisis de Vulnerabilidades,9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com,"9000023-K|Alvaro Partida|zoe37@example.net, 9000260-0|Yolanda Cadena|clararomero@example.com, 9000095-0|Vicente Hinojosa|adelamiranda@example.com",24|95|50,Soluta nihil voluptates dolorum laudantium blanditiis dicta excepturi dolorem ipsum in sint tempore.|Delectus enim accusamus quam molestias quos.|Sint magnam accusamus officiis pariatur eos reiciendis consequatur soluta vitae cum.
Hic alias voluptatibus nobis.,2024-07-03,2024-08-23,Explicabo iste id iusto harum ipsam placeat. Ipsa porro doloribus sed. Possimus velit velit at amet blanditiis.,Redes Neuronales|Estadistica,9000014-0|Miguel Angel Alejandro Castro|benito71@example.net,"9000238-8|Ing. Bernabe Matos|marthacasillas@example.com, 9000242-7|Delia Ceballos|ttejada@example.org, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com",63|81|76,Enim sequi magnam dolore ab totam qui.|Repellat asperiores accusamus similique aliquid aut tenetur fugiat quaerat quis quaerat voluptatibus|Quae doloribus pariatur vel similique doloremque mollitia atque eveniet reprehenderit sunt.
Tenetur in quisquam culpa magni.,2024-02-03,2024-03-31,"Quasi accusantium eos eos quis. Quo in iure consequuntur facere ipsam.
Dignissimos repudiandae iure facere rem quidem laboriosam.",Programacion Paralela,9000288-7|Leticia Federico Malave|mario88@example.com,"9000264-3|Modesto Norma Ontiveros|iglesiasfrancisca@example.net, 9000019-9|Lic. Ofelia Berrios|vmarin@example.com, 9000033-5|Fernando Cisneros|arteagagregorio@example.com",72|53|46,Cum cupiditate ea quibusdam placeat illo.|Tempora delectus maiores error aliquid impedit dolorum.|Ipsum tempora placeat corporis veniam similique.
Velit dignissimos molestias ullam labore.,2024-02-25,2024-03-27,Nobis dolor minus quam saepe non. Tempore possimus reiciendis maxime vel voluptatibus.,Data Warehousing|Computacion en la Nube|Analisis Forense Digital,9000198-8|Cristal Esmeralda Miramontes Canales|olivaresbeatriz@example.com,"9000248-1|Cristal Victor Rosario|biancamontez@example.net, 9000196-2|Raul Emiliano Barrientos|rodrigogalvez@example.org, 9000039-1|Victor Soledad Cano|cecilia05@example.net",27|5|7,Animi labore nisi iure quae exercitationem culpa sed nesciunt sint dolores.|Ea sapiente labore similique quibusdam consectetur quas debitis provident cupiditate officia laborio|Quis saepe rerum officiis laudantium non voluptas.
In animi eos nulla.,2024-01-02,2024-02-12,Beatae eaque mollitia neque doloremque fugiat. Saepe veritatis ab nesciunt. Deleniti tempore quia voluptatum.,Testing de Software|Computacion Grafica,"9000134-6|Ivonne Sofia Otero Blanco|zeferino86@example.com, 9000073-5|Angelica Gonzalez|socorro93@example.com, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net","9000054-K|Laura Santiago Reyna|esmeraldavergara@example.com, 9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com, 9000244-7|Paulina Rodriguez|fernandoybarra@example.org",68|78|19,Velit enim dicta delectus rerum delectus.|Fugiat dolore beatae repellat cum eius ipsam voluptatem totam.|Molestiae vero adipisci id ut ea.
Sunt nulla nostrum voluptates.,2025-03-28,2025-04-03,Quaerat iste officia reprehenderit iste cumque. Explicabo dignissimos laudantium numquam occaecati.,Seguridad Informatica|Criptografia,"9000201-3|Esperanza Esparta Alva Espinoza|rmendez@example.org, 9000168-3|Leonardo Cesar Macias Reyna|antonia07@example.net, 9000155-2|Bernabe Granado|wvazquez@example.net","9000276-7|Maria Cristina de Leon Rael|mayayeni@example.com, 9000262-5|Lic. Felix Crespo|reynaldo53@example.org, 9000063-4|Amelia Loera|jesus19@example.net",39|89|55,Natus sapiente cupiditate aliquid delectus aspernatur fuga.|Sunt dolores adipisci ea nemo alias dolore tempore expedita.|Dolorum cupiditate vero doloribus architecto culpa fugiat officiis.
Exercitationem voluptate beatae suscipit dolorem excepturi.,2023-07-12,2023-09-10,Dolorem illo magnam. Repellat eligendi quos numquam quidem doloribus soluta. Sed hic cum incidunt ab.,Bioinformatica|Estadistica|Seguridad Informatica,"9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org, 9000055-9|Elena Sisneros Najera|wquintanilla@example.org","9000090-K|Mario Angel Bustos|cabanmagdalena@example.org, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org, 9000163-K|Lucas Mireles|mesaandres@example.com",15|1|90,Doloribus libero dicta laboriosam est fuga cum.|Fugit nisi sint odit necessitatibus temporibus.|Numquam reiciendis nesciunt debitis ipsum praesentium aut fuga quam consectetur.
Sequi earum et pariatur magni ullam.,2023-07-02,2023-07-03,Aut temporibus praesentium tempora incidunt ipsum. Ad necessitatibus culpa quia modi.,Visualizacion de Datos,9000007-1|Adela Colon|ecorrea@example.com,"9000213-3|Tomas Antonia Rascon Robledo|carolina89@example.org, 9000289-3|Abraham Francisca Olivera|mariselajaramillo@example.com, 9000260-0|Yolanda Cadena|clararomero@example.com",100|92|33,Dolores sapiente maxime ipsam totam itaque consequuntur iure voluptate.|Possimus dolorum consectetur voluptas magnam dolores repellendus occaecati perferendis praesentium.|Recusandae nihil quasi voluptas esse molestiae laudantium inventore odio repudiandae dicta distincti
Quidem nihil voluptates inventore atque.,2024-06-30,2024-07-09,Esse dolor quod soluta qui aspernatur. Hic nam cupiditate sit ab autem delectus quas.,Procesamiento de Lenguaje Natural,"9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com, 9000291-0|Maria Teresa Felix Benitez Quintero|arteagauriel@example.net, 9000132-2|Gregorio Arcelia Gonzales|olivaresgerman@example.com","9000077-4|Carlos Elvira Chavez|miguelalvarez@example.com, 9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000190-8|Alejandro Lozada|alvarofeliciano@example.org",67|8|33,Nisi ratione non omnis hic rerum ipsam consequatur.|A ullam tempora repudiandae amet neque inventore delectus labore eligendi aliquam.|Nostrum amet quis nemo doloribus quis molestiae debitis.
Error iure assumenda nihil.,2023-11-30,2024-01-01,Possimus in accusantium. Corporis laborum alias id id unde quibusdam. Labore ipsa consectetur eligendi.,Etica en Tecnologia|Computacion Cuantica|Analisis de Sistemas,"9000182-3|Esperanza Aurora Puente Calvillo|quirozdaniela@example.net, 9000288-7|Leticia Federico Malave|mario88@example.com","9000090-K|Mario Angel Bustos|cabanmagdalena@example.org, 9000120-9|Miguel Angel Escamilla|alfonso04@example.net, 9000151-5|Tomas Veronica Peres|juana76@example.com",21|47|20,Vel quaerat harum eius repellendus blanditiis quibusdam.|Debitis iusto tempora minima labore in ullam adipisci similique dignissimos dolorum.|Debitis voluptate reprehenderit sunt repellat labore similique aut mollitia.
Voluptatum saepe laudantium.,2025-01-25,2025-03-24,In necessitatibus eligendi iusto. Maiores quasi eaque officiis voluptatem. Nisi dolorem soluta.,Analisis de Vulnerabilidades|Desarrollo Web,"9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org, 9000273-7|Perla Carolina Espinosa Peres|ndelgado@example.net, 9000182-3|Esperanza Aurora Puente Calvillo|quirozdaniela@example.net","9000068-4|Gilberto Apodaca|esteban77@example.org, 9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com, 9000196-2|Raul Emiliano Barrientos|rodrigogalvez@example.org",31|5|60,Soluta ducimus impedit iusto perspiciatis harum doloremque mollitia repellat vitae.|Facilis error possimus maxime repellendus quia.|Alias animi iste unde cumque sapiente accusamus maxime ex possimus officiis saepe harum.
